,ws,production,site_quality,correction_factor,extra_correction_factor,cost,cost_A,cost_B_min,cost_B_max,min_break_even_no_rym,max_break_even_no_rym,min_break_even_rym,max_break_even_rym
0,5.0,1548.0076471579075,0.5974193604595436,1.29,1.4233548314025932,71.16774157012966,71.16774157012966,-14.233548314025931,14.233548314025924,56.93419325610373,85.40128988415559,44.13503353186336,66.20255029779503
1,5.1,1620.6598526034632,0.625457874476543,1.29,1.386904763180494,69.3452381590247,69.3452381590247,-13.86904763180494,13.869047631804932,55.476190527219764,83.21428579082963,43.0047988583099,64.50719828746483
2,5.2,1693.6122771870748,0.6536122514389124,1.29,1.3503040731294138,67.51520365647069,67.51520365647069,-13.503040731294135,13.503040731294135,54.012162925176554,81.01824438776482,41.86989374044694,62.80484061067041
3,5.3,1766.7501763451485,0.6818382082167047,1.29,1.313610329318284,65.6805164659142,65.6805164659142,-13.136103293182835,13.136103293182842,52.54441317273136,78.81661975909704,40.73210323467547,61.0981548520132
4,5.4,1839.9646853205938,0.7100937308614248,1.2768778,1.2768778,63.84389,63.84389,-12.768777999999998,12.768777999999998,51.075112000000004,76.612668,40.0,60.0
5,5.5,1913.1530304421865,0.7383391561446334,1.2401593,1.2401593,62.007965,62.007965,-12.401592999999998,12.401592999999991,49.606372,74.40955799999999,40.0,60.0
6,5.6,1986.2186485554405,0.7665372176496543,1.2035019,1.2035019,60.175095,60.175095,-12.035018999999998,12.035018999999991,48.140076,72.21011399999999,40.0,60.0
7,5.7,2059.071224897595,0.7946530603885891,1.1669511,1.1669511,58.34755499999999,58.34755499999999,-11.669510999999993,11.669510999999993,46.678044,70.01706599999999,40.0,60.0
8,5.8,2131.626659462528,0.8226542278215978,1.1396114,1.1396114,56.98057,56.98057,-11.396113999999997,11.396113999999997,45.584456,68.376684,40.0,60.0
9,5.9,2203.80697148829,0.8505106249959732,1.1145401,1.1145401,55.727005,55.727005,-11.145401,11.145401,44.581604,66.872406,40.0,60.0
10,6.0,2275.5401511823243,0.8781944613227637,1.0896254,1.0896254,54.48127,54.48127,-10.896253999999999,10.896253999999992,43.585016,65.377524,40.0,60.0
11,6.1,2346.759967225184,0.9056801762870847,1.066024,1.066024,53.3012,53.3012,-10.660239999999995,10.660239999999995,42.64096000000001,63.961439999999996,40.0,60.0
12,6.2,2417.4057379964315,0.932944351157808,1.0469392,1.0469392,52.346959999999996,52.346959999999996,-10.469392,10.469392,41.877568,62.816351999999995,40.0,60.0
13,6.3,2487.4220738687186,0.9599656095316536,1.0280238,1.0280238,51.40119,51.40119,-10.280237999999997,10.280237999999997,41.120952,61.681428,40.0,60.0
14,6.4,2556.7585973306004,0.9867245093207707,1.0092925,1.0092925,50.464625,50.464625,-10.092924999999994,10.092924999999994,40.371700000000004,60.55754999999999,40.0,60.0
15,6.5,2625.3696471309936,1.0132034285738276,0.9920782,0.9920782,49.60391,49.60391,-9.920781999999996,9.920781999999996,39.683128,59.524691999999995,40.0,60.0
16,6.6,2693.2139720893097,1.039386447308794,0.9763684,0.9763684,48.81842,48.81842,-9.763683999999998,9.763683999999998,39.054736000000005,58.582104,40.0,60.0
17,6.7,2760.2544196832227,1.0652592273302686,0.9608445999999999,0.9608445999999999,48.042229999999996,48.042229999999996,-9.608445999999994,9.608445999999994,38.433784,57.65067599999999,40.0,60.0
18,6.8,2826.4576240077954,1.0908088918041963,0.9455146,0.9455146,47.275729999999996,47.275729999999996,-9.455146,9.455146,37.820584,56.730875999999995,40.0,60.0
19,6.9,2891.793697192464,1.1160239061670685,0.9319879999999999,0.9319879999999999,46.599399999999996,46.599399999999996,-9.319879999999998,9.319879999999998,37.27952,55.91927999999999,40.0,60.0
20,7.0,2956.235927864234,1.140893961754454,0.919553,0.919553,45.97765,45.97765,-9.195529999999998,9.195529999999998,36.78212,55.173179999999995,40.0,60.0
21,7.1,3019.760489755876,1.1654098633447685,0.907295,0.907295,45.36475,45.36475,-9.072949999999999,9.072949999999999,36.2918,54.4377,40.0,60.0
22,7.2,3082.3461630779525,1.1895634216289614,0.8952185,0.8952185,44.760925,44.760925,-8.952185,8.952185,35.80874,53.71311,40.0,60.0
23,7.3,3143.974070805334,1.2133473514361224,0.8846612,0.8846612,44.23306,44.23306,-8.846612,8.846612,35.386448,53.079672,40.0,60.0
24,7.4,3204.6274315761634,1.2367551763702938,0.875298,0.875298,43.764900000000004,43.764900000000004,-8.75298,8.75298,35.01192,52.517880000000005,40.00000000000001,60.00000000000001
25,7.5,3264.2913304677227,1.2597811403464796,0.8660876,0.8660876,43.304379999999995,43.304379999999995,-8.660875999999995,8.660875999999995,34.643504,51.96525599999999,40.0,59.999999999999986
26,7.6,3322.95250850423,1.282420126355829,0.857032,0.857032,42.8516,42.8516,-8.570319999999995,8.570319999999995,34.28128,51.42191999999999,40.0,59.999999999999986
27,7.7,3380.599171369953,1.3046675826426868,0.8481328,0.8481328,42.40664,42.40664,-8.481327999999998,8.481327999999998,33.925312000000005,50.887968,40.0,60.0
28,7.8,3437.2208174516622,1.3265194563413771,0.8393924,0.8393924,41.96962,41.96962,-8.393923999999998,8.393923999999998,33.575696,50.363544,40.0,60.0
29,7.9,3492.8080850201604,1.3479721344992894,0.8308112,0.8308112,41.54056,41.54056,-8.308112000000001,8.308112000000001,33.232448,49.848672,40.0,60.0
30,8.0,3547.3526180837684,1.3690223923059945,0.8223912,0.8223912,41.11956,41.11956,-8.223911999999999,8.223911999999999,32.895648,49.343472,40.0,60.0
31,8.1,3600.84695020913,1.3896673482564506,0.8141332,0.8141332,40.70666,40.70666,-8.141331999999998,8.141331999999998,32.565328,48.847992,40.0,60.0
32,8.2,3653.284405406161,1.4099044258997373,0.8080192,0.8080192,40.400960000000005,40.400960000000005,-8.080191999999997,8.080191999999997,32.32076800000001,48.481152,40.0,60.0
33,8.3,3704.6590150147713,1.4297313217633234,0.8040538,0.8040538,40.202690000000004,40.202690000000004,-8.040537999999998,8.040537999999998,32.162152000000006,48.243228,40.0,60.0
34,8.4,3754.965449409183,1.4491459789958556,0.8001708000000001,0.8001708000000001,40.00854,40.00854,-8.001708,8.001708,32.006832,48.010248000000004,40.0,60.0
35,8.5,3804.1989632496698,1.4681465662382773,0.7963706,0.7963706,39.81853,39.81853,-7.963705999999998,7.963706000000002,31.854824000000004,47.782236000000005,40.0,60.0
36,8.6,3852.355352958242,1.486731461212508,0.7926538000000001,0.7926538000000001,39.632690000000004,39.632690000000004,-7.926538000000001,7.926538000000001,31.706152000000003,47.559228000000004,40.0,60.0
37,8.7,3899.430925071707,1.5048992385080064,0.79,0.7890201522983987,39.45100761491994,39.45100761491994,-7.890201522983986,7.890201522983986,31.56080609193595,47.341209137903924,39.95038745814677,59.92558118722015
38,8.8,3945.422474128707,1.5226486610477608,0.79,0.7854702677904479,39.2735133895224,39.2735133895224,-7.854702677904477,7.854702677904477,31.418810711617922,47.12821606742688,39.770646470402426,59.65596970560364
39,8.9,3990.3272687735966,1.5399786747253874,0.79,0.7820042650549226,39.10021325274613,39.10021325274613,-7.820042650549226,7.820042650549226,31.280170602196904,46.920255903295356,39.59515266100874,59.39272899151311
40,9.0,4034.143044805663,1.5568884057226307,0.79,0.778622318855474,38.9311159427737,38.9311159427737,-7.7862231885547395,7.786223188554736,31.14489275421896,46.71733913132844,39.42391487875818,59.13587231813726
